Sample_ID,Smp,Design,Fraction,Ext,PCR,SFEP
MTB05_lrg_BCE,5,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB05_sml_BCE,5,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_lrg_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_MPFcom_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_MPFext_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB09_sml_BCE,9,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_lrg_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_MPFcom_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_MPFext_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB11_sml_BCE,11,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB14_lrg_BCE,14,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB14_sml_BCE,14,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB20_lrg_BCE,20,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB20_sml_BCE,20,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB21_lrg_BCE,21,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB21_MPFcom_BCE,21,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB21_MPFext_BCE,21,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB21_sml_BCE,21,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB27_lrg_BCE,27,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB27_sml_BCE,27,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB30_lrg_BCE,30,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB30_sml_BCE,30,NA,BCE,NA,NA,Y.Pool.BCE.Pool
MTB21_Lrg_BCP,21,NA,NA,BCP,NA,Y.Pool.Pool.BCP
MTB21_Sml_BCP,21,NA,NA,BCP,NA,Y.Pool.Pool.BCP
MTB21_MPFcom_BCP,21,NA,NA,BCP,NA,Y.Pool.Pool.BCP
MTB09_Lrg_BCP,9,NA,NA,BCP,NA,Y.Pool.Pool.BCP
MTB09_Sml_BCP,9,NA,NA,BCP,NA,Y.Pool.Pool.BCP
MTB09_MPFcom_BCP,9,NA,NA,BCP,NA,Y.Pool.Pool.BCP
