OUT97_ID,MTB01,MTB02,MTB03,MTB04,MTB05,MTB05-A-01-PP,MTB05-A-02-PP,MTB05-B-01-PP,MTB05-B-02-PP,MTB06,MTB07,MTB08,MTB09,MTB09-A-01-P1,MTB09-A-01-P2,MTB09-A-01-PP,MTB09-A-02-PP,MTB09-AB-01-PP,MTB09-AB-02-PP,MTB09-B-01-P1,MTB09-B-01-P2,MTB09-B-01-PP,MTB09-B-02-PP,MTB09-NS-01-P1,MTB09-NS-01-P2,MTB09-NS-01-PP,MTB09-NS-02-PP,MTB10,MTB11,MTB11-A-01-PP,MTB11-A-02-PP,MTB11-AB-01-PP,MTB11-AB-02-PP,MTB11-B-01-PP,MTB11-B-02-PP,MTB11-NS-01-PP,MTB11-NS-02-PP,MTB12,MTB13,MTB14,MTB14-A-01-PP,MTB14-A-02-PP,MTB14-B-01-PP,MTB14-B-02-PP,MTB15,MTB16,MTB17,MTB18,MTB19,MTB20,MTB20-A-01-PP,MTB20-A-02-PP,MTB20-B-01-PP,MTB20-B-02-PP,MTB21,MTB21-A-01-P1,MTB21-A-01-P2,MTB21-A-01-PP,MTB21-A-02-PP,MTB21-AB-01-PP,MTB21-AB-02-PP,MTB21-B-01-P1,MTB21-B-01-P2,MTB21-B-01-PP,MTB21-B-02-PP,MTB21-NS-01-PP,MTB21-NS-02-P1,MTB21-NS-02-P2,MTB21-NS-02-PP,MTB22,MTB23,MTB24,MTB25,MTB25-2,MTB26,MTB27,MTB27-A-01-PP,MTB27-A-02-PP,MTB27-B-01-PP,MTB27-B-02-PP,MTB28,MTB29,MTB30,MTB30-A-01-PP,MTB30-A-02-PP,MTB30-B-01-PP,MTB30-B-02-PP
000863400e95fa69df7c7039759493dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000863400e95fa69df7c7039759493dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000a49f22e72d5f12fec69710b1fab62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0015a07999553be01f7ec2849629026a,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
