Phylum,Class,Order,Family,Genus,Species,Species name
Mollusca,Gastropoda,Neotaenioglossa,Triphoridae,Sagenotriphora,ampulla,Sagenotriphora ampulla
Mollusca,Gastropoda,Neotaenioglossa,Epitoniidae,Epitonium,minora,Epitonium minora
Mollusca,Gastropoda,Neotaenioglossa,Aclididae,Awanuia,porcelana,Awanuia porcelana
Mollusca,Gastropoda,Neogastropoda,Muricidae,Muricopsis,octagonus,Muricopsis octagonus
Mollusca,Gastropoda,Neogastropoda,Muricidae,Xymene,pusillus,Xymene pusillus
Mollusca,Gastropoda,Neogastropoda,Buccinidae,Taron,albocostus,Taron albocostus
Mollusca,Gastropoda,Neogastropoda,Columbellidae,Macrozafra,mariae,Macrozafra mariae
Mollusca,Gastropoda,Neogastropoda,Columbellidae,Macrozafra,subabnormis,Macrozafra subabnormis
Mollusca,Gastropoda,Neogastropoda,Costellariidae,Austromitra,rubiginosa,Austromitra rubiginosa
Mollusca,Gastropoda,Heterostropha,Orbitestellidae,Orbitestella,toreuma,Orbitestella toreuma
Mollusca,Gastropoda,Heterostropha,Pyramidellidae,Linopyrga,rugata,Linopyrga rugata
Mollusca,Bivalvia,Arcoida,Arcidae,Barbatia,novaezealandiae,Barbatia novaezealandiae
Mollusca,Bivalvia,Mytiloida,Mytilidae,Trichomusculus,barbatus,Trichomusculus barbatus
Mollusca,Bivalvia,Pterioida,Pectinidae,Chlamys,zelandiae,Chlamys zelandiae
Mollusca,Bivalvia,Veneroida,Lasaeidae,Borniola,reniformis,Borniola reniformis
Mollusca,Bivalvia,Veneroida,Carditidae,Cardita,aoteana,Cardita aoteana
Mollusca,Bivalvia,Veneroida,Carditidae,Cardita,brookesi,Cardita brookesi
Mollusca,Bivalvia,Myoida,Hiatellidae,Hiatella,arctica,Hiatella arctica
Nematoda,,,,,,
Nemertea,,,,,,
Platyhelminthes,Turbellaria,,,,,
Platyhelminthes,Turbellaria,Polycladida,Pseudocerotidae,Thysanozoon,brocchii,Thysanozoon brocchii
Porifera,Calcarea,Leucosolenida,Sycettidae,Sycon,sp. 2,
Porifera,Calcarea,Leucosolenida,Sycettidae,Sycon,sp. 1,
Porifera,Calcarea,Leucosolenida,Sycettidae,Sycon,sp. 3,
Porifera,Calcarea,Leucosolenida,Grantiidae,Leucandra,sp. 1,
Porifera,Calcarea,Clathrinida,Clathrinidae,,,
Porifera,Demospongiae,Haplosclerida,Callyspongiidae,Callyspongia,,
Porifera,Demospongiae,Dictyoceratida,Dysideidae,Dysidea,,
Porifera,Demospongiae,Poecilosclerida,Phoriospongiidae,,,
Porifera,Demospongiae,Poecilosclerida,Crellidae,Crella,incrustans,Crella incrustans
Porifera,Demospongiae,,,,,
Rhizopoda,Reticularea,Foraminiferida,Acervulinidae,Acervulina,inhaerens,Acervulina inhaerens
Rhizopoda,Reticularea,Foraminiferida,Discorbidae,Trochulina,dimidiata,Trochulina dimidiata
Sipuncula,,,,,,
