"","E01-P1","E01-P2","E02-P1","MTB01","MTB02","MTB03","MTB04","MTB05","MTB05-A-01-PP","MTB05-A-02-PP","MTB05-B-01-PP","MTB05-B-02-PP","MTB06","MTB07","MTB08","MTB09","MTB09-A-01-P1","MTB09-A-01-P2","MTB09-A-01-PP","MTB09-A-02-PP","MTB09-AB-01-PP","MTB09-AB-02-PP","MTB09-B-01-P1","MTB09-B-01-P2","MTB09-B-01-PP","MTB09-B-02-PP","MTB09-NS-01-P1","MTB09-NS-01-P2","MTB09-NS-01-PP","MTB09-NS-02-PP","MTB10","MTB11","MTB11-A-01-PP","MTB11-A-02-PP","MTB11-AB-01-PP","MTB11-AB-02-PP","MTB11-B-01-PP","MTB11-B-02-PP","MTB11-NS-01-PP","MTB11-NS-02-PP","MTB12","MTB13","MTB14","MTB14-A-01-PP","MTB14-A-02-PP","MTB14-B-01-PP","MTB14-B-02-PP","MTB15","MTB16","MTB17","MTB18","MTB19","MTB20","MTB20-A-01-PP","MTB20-A-02-PP","MTB20-B-01-PP","MTB20-B-02-PP","MTB21","MTB21-A-01-P1","MTB21-A-01-P2","MTB21-A-01-PP","MTB21-A-02-PP","MTB21-AB-01-PP","MTB21-AB-02-PP","MTB21-B-01-P1","MTB21-B-01-P2","MTB21-B-01-PP","MTB21-B-02-PP","MTB21-NS-01-PP","MTB21-NS-02-P1","MTB21-NS-02-P2","MTB21-NS-02-PP","MTB22","MTB23","MTB24","MTB25","MTB25-2","MTB26","MTB27","MTB27-A-01-PP","MTB27-A-02-PP","MTB27-B-01-PP","MTB27-B-02-PP","MTB28","MTB29","MTB30","MTB30-A-01-PP","MTB30-A-02-PP","MTB30-B-01-PP","MTB30-B-02-PP","P1","P2","P3","P4","P5","SW-P1"
"004e4e762f12f5fa873f4307ee99f725",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"005279f7ecfce4c83dbf8453e0360fea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0052e4f21cf3195706ea86466a95dbcd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"006aab85ff637f200c59075d4ea15fd1",0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"007b184ed199d0b791b194bea88724a0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"008384cde906460ab42a7581846e05c8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00999d40e8143b5e23a1dc546b464575",0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00a13106d842cc31927e3e7e7681b4da",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00a3ae008885977a5fe88e3817e7480a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0
"00ac89dbc0d9151d2c8f0f9167cdce34",0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
